#Frame        chi1:32      chi2:32      chi3:32
       1     -83.6875     -66.8984     129.6108
       2     -84.5276     -90.8634    -162.8617
       3     -82.4369    -109.4949    -173.7529
       4     -90.6231     -88.5056    -162.9865
       5     -89.3405     -95.4960    -148.0816
       6     -61.8140    -101.8592    -130.0830
       7     -74.9458    -130.5797    -121.7958
       8     -85.5216     -83.9386    -164.4935
       9     -61.4653     -81.2208     152.4728
      10     -67.7251    -105.9168    -142.8675
      11     -77.1379     -79.8686    -158.1223
      12     -59.5262     -80.1084    -161.4135
      13     -68.7301     -99.4042    -121.9983
      14     -74.3228     -88.2459    -174.2308
      15     -75.9697     -93.7319    -150.1077
      16     -90.3229     -82.3595    -134.6278
      17     -80.7617     -79.7337    -100.2629
      18     -80.2040     -70.8181     -91.6279
      19     -89.0072     -74.6588      72.8666
      20     -77.5160     -58.8858      46.9732
      21     -64.0928     -58.7299     121.1692
      22     -71.9569     -51.4611     151.6222
      23     -68.9991     -97.6743    -177.1469
      24     -95.4500     -57.6042     145.7921
      25     -98.0400     -44.7192     160.4872
      26     -96.1310     -95.5174    -145.7211
      27     -75.8523     -78.0184    -168.0963
      28     -99.6724     -84.4991    -126.5829
      29    -131.1189     -46.4928     -69.2768
      30     -77.7112     -61.4253     173.5512
      31     -74.7358     -78.9909     146.5630
      32     -54.2112     -60.9083     144.3133
      33     -86.2179     -74.2986     151.6368
      34    -115.3508     -61.0030     149.5133
      35    -109.1667     -63.1491     109.0320
      36     -81.5699    -119.4565     132.2107
      37     -81.6751     179.1818    -128.0131
      38     -77.9228    -157.0655     126.3539
      39     -88.5283    -107.4315      62.9941
      40     -75.6985    -101.5872      76.9957
      41     -87.7189     -90.0929     102.5453
      42     -84.2976     -92.4124     112.8760
      43     -72.3771     -82.4357     107.7113
      44    -100.6013     -72.0413      72.8264
      45     -71.2231     -89.7775      80.1870
      46     -94.8004    -102.1842      76.4572
      47     -70.7858     -55.0899      79.6006
      48     -72.4047     -73.0638     101.5001
      49     -92.5669     -72.6047      93.1306
      50     -90.5897     -88.8739     102.0099
      51     -87.3759     -49.1767     117.2515
      52     -87.6738     -80.0698     132.2956
      53     -79.5532     -52.7453     133.6656
      54     -53.9414     -62.9211     155.2508
      55     -73.1389    -103.7179    -106.2652
      56     -79.7608     -77.8685    -117.8222
      57     -69.7032     -72.7170     142.2178
      58     -72.7321     -77.6614    -165.6394
      59    -101.3522     -84.1989    -131.6478
      60     -95.0790     -88.3225    -174.3023
      61     -86.6414     -97.5347    -159.5534
      62     -71.8903    -127.5736     -94.6666
      63     -81.6107     -80.9280     -83.3300
      64     -74.2331    -131.6473     -63.0583
