#Frame       chi1:120     chi2:120     chi3:120
       1     -85.4694     -72.6196      92.6234
       2     -96.4320     -84.3182      64.6470
       3     -96.7027     -51.1207     139.4001
       4     -82.0413     -60.7215     170.0884
       5     -98.1267     -61.9841     177.6505
       6     -79.6360     -80.4305     151.2398
       7    -119.8000     -59.2822     107.4086
       8     -97.2276     -92.5204     114.8850
       9     -91.1445     -79.1041      37.8892
      10     -82.9836     -79.2537      64.6024
      11     -72.4018     -75.8544     105.5309
      12     -98.0989     -74.2136     127.3777
      13     -63.7266     -84.5935     122.6024
      14     -78.2414     -56.4530     146.7370
      15     -76.2013     -54.4748     101.3899
      16     -69.3326     -81.8703    -150.0194
      17     -78.9114     -84.7059    -121.8145
      18     -78.7976     -56.8180     135.4409
      19     -90.9894     -61.8519     106.0019
      20     -71.9555     -16.5883     134.5425
      21     -65.6998     -74.5938     156.2680
      22     -58.5158     -43.5623     108.6910
      23     -60.6503     -58.0571     106.4237
      24     -55.2292     -62.8057     142.2125
      25     -65.5299     -50.5044      85.4798
      26     -65.7419     -75.0485     109.2737
      27     -95.5051     -62.2621     153.4831
      28     -81.8689     -78.2942    -159.9308
      29     -80.4683     -74.5281     109.4054
      30     -89.9838     -64.5302     121.7021
      31     -83.7515    -108.6801      74.0510
      32     -93.4101     -94.6053      34.0984
      33     -79.4172     -81.5867      16.5915
      34     -80.4631     -71.4136     -54.6697
      35     -94.1768     -61.0551     -60.2679
      36     -84.5687     -80.5483     -86.1306
      37    -104.2326     -90.9278     -87.0052
      38     -80.7644     -88.1267     -56.9500
      39     -96.8073     -66.9031     -67.1325
      40     -78.0215     -97.5979     -64.7135
      41    -102.6095     -67.1227     113.2576
      42     -81.7345     -84.4523     124.0878
      43     -68.6343     -74.0711      94.7848
      44     -78.6365     -71.6851      81.8198
      45     -96.6915     -50.3935     114.1110
      46     -67.5347     -84.8592      76.6367
      47     -78.2341     -68.8627     130.9389
      48     -88.1051     -72.6147      97.8178
      49     -64.2802     -90.5324     100.0140
      50     -88.3503     -70.1383     104.6702
      51     -80.8018     -68.1553     121.2385
      52     -98.1779     -80.0114      94.5149
      53     -70.9955     -91.0857      78.5831
      54     -83.5420     -78.3951      87.7640
      55     -95.8577     -65.8507     105.8529
      56     -88.3100     -61.1573     102.1559
      57    -108.7550     -59.1473      68.4269
      58    -101.8728     -89.0858     117.8825
      59     -91.6985     -68.7917     111.3020
      60     -97.3969     -74.4847     109.4660
      61     -71.3065     -74.5206      94.3471
      62     -73.8288     -78.8632      97.6722
      63     -62.9665     -78.7357     -25.8987
      64     -94.2077     -43.9779     -57.2803
      65     -96.0994     -83.3257     -77.7302
      66     -71.9790     -96.4857     -94.6253
      67     -91.2006    -101.9089     -78.3664
      68     -85.7923     -93.0254    -127.8280
      69     -85.1946     -71.3673     -94.1600
      70     -73.1215     -81.0743    -135.4620
      71     -61.0218     -87.1265    -123.1930
      72     -53.4543     -91.0817     -73.2927
      73     -56.8583     -85.4043     -94.0498
      74     -80.3745     -88.6313     -90.1153
      75     -75.2691     -84.9417     -91.7065
      76     -70.0937     -84.3657    -128.9130
      77     -54.2654     -65.6121     -32.1151
      78     -68.1045     -65.8360     -25.8708
      79     -69.3267     -73.1772      -9.0660
      80     -72.5190     -63.2042     -48.4024
      81     -84.3882     -56.2342     -81.2339
      82     -81.0999     -62.6850     -39.2058
      83     -87.3460     -73.6130     -71.1461
      84     -73.2403     -64.5882     -64.2844
      85    -100.8566     -63.9707     -77.0470
      86     -77.5422    -100.2127     -68.2235
      87     -81.8965     -85.5368     -76.4284
      88     -76.2606     -93.3510     -82.3717
      89     -84.2171     -95.5167     -85.4617
      90     -89.8651     -75.0278     -80.8843
      91    -112.6702     -80.7711     -69.6459
      92     -80.6382     -86.7238     -56.0723
      93     -72.0223    -106.8721     -42.0895
      94     -90.0389     -68.6074     -95.2449
      95    -105.7709     -66.5318     -89.5446
      96     -96.5644     -66.5203     -95.4081
      97     -81.1275     -68.5292     -80.5778
      98    -110.4128     -69.7863    -104.3791
