#Frame     o_angle_m1   o_angle_m2
       1      20.7735      20.7253
       2      19.5400      22.3982
       3      19.7640      21.8223
       4      23.6625      26.1523
       5      22.1801      27.6176
       6      22.2546      26.4313
       7      22.2519      27.6161
       8      22.3433      28.8949
       9      24.8921      30.1166
      10      23.9593      30.2202
      11      25.1167      31.1514
      12      25.3981      30.9565
      13      23.9181      27.0058
      14      22.4860      26.0187
      15      25.6429      28.7943
      16      20.5686      23.5561
      17      22.7002      28.2082
      18      21.9522      25.0243
      19      18.7762      23.7513
      20      17.5189      24.1052
      21      19.8878      23.8281
      22      19.1456      25.3770
      23      19.1071      25.9082
      24      17.6679      25.6254
      25      20.2629      27.2616
      26      20.9452      24.5422
      27      20.0296      26.2014
      28      18.7997      24.3270
      29      19.3335      27.0118
      30      21.2304      25.8023
      31      19.5319      25.3354
      32      19.5761      24.8695
      33      21.9643      22.7192
      34      20.2005      22.4178
      35      19.5217      22.1143
      36      21.9233      24.7040
      37      21.6149      24.9264
      38      19.4056      23.0331
      39      18.7111      21.8906
      40      20.5195      21.3883
      41      22.2776      24.1669
      42      20.4485      23.5091
      43      18.5361      24.2612
      44      21.5324      25.3382
      45      23.3926      26.2345
      46      21.6309      25.6461
      47      19.4542      23.2211
      48      21.2073      27.4977
      49      21.6514      25.8120
      50      20.1586      24.4458
      51      19.5395      25.1462
      52      22.2627      26.2476
      53      17.3373      22.3502
      54      18.2027      21.6457
      55      18.1687      23.1765
      56      17.8535      21.2347
      57      17.7580      21.4164
      58      18.3070      19.6828
      59      19.2111      20.5371
      60      16.9029      20.5201
      61      18.4056      21.6797
      62      17.9621      21.2222
      63      14.9955      21.9061
      64      18.6877      25.5444
      65      16.9695      23.9816
      66      17.6509      22.5318
      67      20.2191      26.6553
      68      21.5019      28.6421
      69      18.8236      26.5953
      70      19.9476      26.9146
      71      21.5083      27.0409
      72      19.4684      26.0576
      73      19.2389      28.3289
      74      18.0389      28.1730
      75      18.3410      28.3473
      76      20.8850      27.4449
      77      18.4954      25.8038
      78      21.2750      26.6230
      79      20.3528      26.3353
      80      20.5493      25.4766
      81      21.4170      27.5738
      82      20.6050      27.6286
      83      21.3223      27.5886
      84      20.9796      26.5500
      85      22.7313      26.3686
      86      23.9687      27.6434
      87      22.8220      26.3705
      88      24.7664      26.5612
      89      22.6151      28.1717
      90      25.7940      29.1107
      91      23.8556      27.4220
      92      22.8036      25.7430
      93      21.9413      24.5465
      94      24.8755      26.4067
      95      17.8297      23.7468
      96      19.6396      25.1278
      97      20.3084      25.1919
      98      21.2238      25.0871
      99      20.8114      27.2383
     100      17.9302      23.4474
     101      19.3875      26.3997
     102      22.3162      27.2274
     103      19.3862      27.8815
     104      18.4523      27.6707
     105      22.1933      29.4285
     106      18.6123      26.2283
     107      21.7732      26.9676
     108      21.2419      29.3413
     109      21.3881      26.1594
     110      20.1613      27.6897
     111      18.2142      24.6381
     112      20.4960      28.5464
     113      20.5081      29.3574
     114      19.3590      28.9660
     115      20.5568      29.6284
     116      19.5786      28.3284
     117      18.5617      28.0553
     118      17.4320      27.8241
     119      19.5530      28.2680
     120      16.0802      28.5578
     121      17.7389      28.5729
     122      16.4626      28.6886
     123      19.7200      30.6332
     124      17.9839      27.5699
     125      17.6689      27.4818
     126      20.3386      27.9552
     127      19.1560      27.1480
     128      18.6130      27.1770
     129      20.4314      27.2286
     130      18.2751      26.7675
     131      17.6131      26.8061
     132      18.1221      27.3052
     133      19.6781      30.6129
     134      18.8933      31.0444
     135      18.5231      30.7633
     136      18.9153      32.3453
     137      15.6671      29.9636
     138      18.6991      33.6430
     139      13.6039      31.5518
     140      18.1299      35.4171
     141      17.8168      35.0486
     142      19.7986      34.7974
     143      17.9913      34.0879
     144      19.5990      35.2206
     145      18.7445      36.1813
     146      22.1114      37.0494
     147      20.0529      38.0141
     148      18.2295      37.1386
     149      17.6197      38.8777
     150      18.6927      35.5774
     151      16.7945      33.5795
     152      17.0515      33.9769
     153      16.8349      34.9898
     154      17.2068      35.1730
     155      16.6924      35.3718
     156      14.5278      33.4777
     157      15.8267      35.1436
     158      16.0577      33.0252
     159      13.6091      33.0036
     160      17.3486      33.4305
     161      17.0963      34.8997
     162      19.4588      36.2782
     163      16.5215      35.7249
     164      18.4458      36.4937
     165      16.6833      35.8052
     166      15.5128      33.3761
     167      16.8094      34.5842
     168      17.6435      31.8909
     169      18.4815      33.2635
     170      20.5280      34.2241
     171      18.3672      32.1795
     172      19.5341      34.5382
     173      17.3144      31.9927
     174      15.0449      32.2564
