#Frame      Mode1    Mode2    Mode3
       1  102.108   16.684   13.760
       2  104.309    8.341   12.117
       3  107.376    9.969   10.939
       4   98.712    7.731    6.345
       5  100.432    7.783    0.803
       6  103.080   11.887    2.923
       7   98.218   10.361   -0.974
       8  102.369    1.925    0.551
       9  102.599   -1.421    0.457
      10  104.516    5.554   -3.741
      11  101.072   -1.808    1.492
      12  102.585   -1.649    2.580
      13  100.714    4.375    3.292
      14  105.997    8.935   -0.827
      15  107.950    6.324    6.861
      16  106.192   10.774    0.727
      17  109.698    4.857   11.027
      18  109.688    7.096    8.628
      19  114.129    6.839   11.974
      20  119.513    5.325   12.378
      21  116.131    6.583   12.989
      22  117.793    0.699   12.920
      23  121.797   -1.024   14.427
      24  129.964    0.251   17.529
      25  123.990    5.004   25.073
      26  117.395    7.734   26.505
      27  120.991    2.225   24.430
      28  125.777    9.852   26.305
      29  128.543    6.107   26.010
      30  135.157    3.603   36.674
      31  137.257    0.540   31.701
      32  134.381    3.182   26.776
      33  130.118    6.828   28.867
      34  133.668    7.101   18.798
      35  132.784    4.763   27.379
      36  138.010    6.382   27.364
      37  131.051    6.824   27.275
      38  131.869    7.871   29.191
      39  139.371   12.087   35.174
      40  142.577   15.674   29.796
      41  137.658   16.766   34.176
      42  137.521   11.127   31.066
      43  142.260   18.152   27.021
      44  134.044   13.182   24.600
      45  132.836   18.961   24.744
      46  130.438   10.681   19.295
      47  139.410   13.756   22.086
      48  138.187   15.994   23.787
      49  137.330   13.407   23.148
      50  138.868   13.226   25.470
      51  131.597   13.437   24.374
      52  135.291   14.784   24.102
      53  134.717   15.418   30.442
      54  131.228   13.596   28.409
      55  128.374   15.691   26.873
      56  122.130   18.133   25.548
      57  126.910   18.285   26.913
      58  127.631    9.301   27.545
      59  126.719    9.503   27.408
      60  132.972    6.511   29.232
      61  129.615   -3.388   28.825
      62  135.481    3.300   32.389
      63  142.607    2.617   26.067
      64  142.733    6.248   22.345
      65  145.709    9.453   19.919
      66  145.743    5.932   23.582
      67  142.055    4.789   18.662
      68  140.803    2.397   19.124
      69  141.396   -2.843   18.326
      70  140.805    0.348   18.530
      71  140.826   -1.133   11.690
      72  148.673   -3.041   17.670
      73  153.462   -5.676   19.780
      74  153.179    3.692   18.671
      75  153.446    6.516   20.595
      76  152.632    6.836   23.006
      77  151.348    8.733   22.818
      78  153.100    9.907   26.004
      79  149.255   12.912   27.830
      80  151.393    8.198   33.383
      81  151.200    5.577   31.785
      82  151.420    5.538   32.243
      83  150.490   10.313   31.501
      84  148.016    7.465   29.772
      85  147.945    4.592   32.712
      86  149.307   11.752   32.251
      87  146.864    8.507   28.332
      88  151.127   11.254   30.799
      89  152.379    6.817   33.654
      90  145.362    5.754   35.833
      91  146.651    8.489   33.129
      92  146.704    9.283   34.329
      93  144.116   11.093   35.193
      94  144.469   12.185   30.408
      95  149.939    7.601   27.568
      96  147.915   12.834   29.351
      97  144.645    9.297   27.984
      98  145.210    7.543   28.533
      99  147.638    6.266   31.156
