#Frame      Mode1    Mode2    Mode3
       1   34.146   -8.675    1.628
       2   30.937   -6.423    1.777
       3   35.603   -4.573    3.490
       4   32.063   -5.671   10.429
       5   34.774   -6.781    5.349
       6   36.005  -12.034    8.891
       7   32.173  -11.154    6.690
       8   36.830  -10.353   11.375
       9   36.710   -7.730   12.194
      10   38.478   -9.644   17.429
      11   38.894   -6.670   21.117
      12   36.716  -10.360   23.758
      13   39.276  -10.501   18.511
      14   41.225   -4.843   17.754
      15   40.949   -2.926   14.560
      16   40.687   -4.628   19.249
      17   39.905   -4.292   20.690
      18   41.613    0.616   16.816
      19   37.622   -6.039   18.363
      20   36.525   -4.553   16.358
      21   37.043    2.322   15.296
      22   34.146    1.621   21.794
      23   34.001    1.250   14.385
      24   35.279    2.133   21.450
      25   34.820    2.071   17.115
      26   35.154    4.831   15.028
      27   35.565   -0.743   14.805
      28   40.314    5.143   12.023
      29   34.904   -1.671   12.749
      30   33.195    0.715   18.051
      31   33.632   -5.674   15.412
      32   33.601   -7.390    9.931
      33   39.311   -2.613   13.793
      34   40.005   -4.468    4.297
      35   34.978   -8.089    7.412
      36   39.385   -6.576    3.228
      37   34.057   -4.554    0.533
      38   38.694   -2.754   -0.091
      39   33.794   -4.808   -5.648
      40   34.809   -3.268   -4.548
      41   31.757   -0.772   -2.626
      42   32.700   -7.484    9.400
      43   31.716   -5.705    2.494
      44   37.144   -4.092    9.049
      45   41.293    3.675    7.355
      46   41.586   -0.125    7.323
      47   42.483   -0.740    0.512
      48   44.065   -3.811    4.448
      49   40.636   -8.276    9.060
      50   39.123   -7.961    2.805
      51   40.814   -7.917    3.534
      52   39.337   -2.778   -8.227
      53   40.346   -5.028   -0.367
      54   40.571   -2.283   -5.595
      55   41.505    3.843   -9.337
      56   38.440    4.036  -16.246
      57   38.448    4.693   -4.203
      58   36.365   -0.414    2.349
      59   33.717   -7.647    0.087
      60   32.136   -8.137   -1.917
      61   30.123   -4.688    6.366
      62   29.590   -5.965    4.855
      63   34.579   -3.061   14.262
      64   37.705   -3.454   19.761
      65   31.819  -10.947   22.278
      66   31.839  -14.995   19.758
      67   29.225  -16.728   15.598
      68   29.595  -12.373   10.413
      69   31.278  -13.793   11.650
      70   32.086  -15.928   21.561
      71   34.250  -11.792   20.890
      72   32.387  -10.267   17.439
      73   34.081  -11.549   21.276
      74   37.034   -9.202   18.745
      75   37.260  -15.732   21.883
      76   36.245  -16.629   22.614
      77   34.415   -8.849   23.961
      78   31.091  -11.761   19.933
      79   34.141   -7.756   22.272
      80   34.067   -3.272   20.448
      81   34.856   -7.481   21.767
      82   33.572  -10.159   24.889
      83   36.937   -6.619   24.960
      84   32.133  -12.523   27.209
      85   30.550  -14.623   29.976
      86   35.010   -7.415   27.021
      87   32.858   -9.675   31.034
      88   35.736   -9.372   25.146
      89   34.060   -8.874   20.092
      90   36.250   -7.466   17.749
      91   33.588   -9.683   23.949
      92   32.456  -11.813   21.412
      93   34.651   -9.823   27.896
      94   35.053  -11.348   23.430
      95   36.236   -7.923   25.443
      96   38.234   -5.287   21.335
      97   39.661   -2.764   21.816
      98   42.928    1.192   24.325
      99   46.626   -2.120   17.597
     100   45.440    0.033   15.702
     101   46.836   -5.912   26.555
     102   47.653   -6.980   26.926
     103   45.854   -0.881   17.851
     104   47.773   -1.893   20.352
     105   45.201   -1.628   15.689
     106   45.041   -2.453   21.876
     107   42.390   -7.187   30.388
     108   41.364   -3.040   18.077
     109   38.065   -6.624   24.699
     110   41.541   -4.040   18.832
     111   39.690   -5.746   18.542
     112   40.875   -6.598   19.106
     113   41.705   -6.206   19.405
     114   42.127   -7.747   27.838
     115   39.479  -12.331   28.753
     116   39.482  -14.642   24.169
     117   42.601   -9.638   16.167
     118   38.025   -6.783   12.510
     119   33.678  -13.418   21.952
     120   28.210  -17.627   18.571
     121   29.498  -15.784   24.962
     122   33.178  -12.157   25.280
     123   34.970  -14.078   22.602
     124   32.915  -12.658   17.577
     125   34.716   -4.216   19.973
     126   36.529   -2.964   26.199
     127   36.812    1.207   16.159
     128   40.073    2.449   12.195
     129   41.369   -5.748   10.542
     130   45.459   -3.907   13.305
     131   42.967   -0.515    4.380
     132   39.182    1.619    4.974
     133   38.594    6.437   -1.445
     134   39.283    4.626   -4.904
     135   37.722    2.346   -5.884
     136   36.435    4.774   -3.712
     137   45.742    8.789   -7.984
     138   42.297   10.180   -4.636
     139   40.980    6.186   -8.331
     140   39.766    2.595   -2.181
     141   37.453    0.688    1.493
     142   33.671   -0.157    2.120
     143   35.590    2.650    1.581
     144   33.506    2.106   -2.914
     145   31.331    2.171   -2.844
     146   26.103   -2.292   -7.786
     147   22.056   -6.300   -7.258
     148   20.300  -12.159   -4.444
     149   21.787   -7.842   -2.203
     150   23.299  -11.606    0.232
     151   26.165  -12.274    1.079
     152   24.048   -6.497   -2.229
     153   24.727   -7.113   -3.902
     154   19.389  -11.943   -0.045
     155   17.559  -11.525   -1.178
     156   18.879  -11.408   -3.981
     157   18.030  -11.172   -5.020
     158   20.420  -16.041   -0.048
     159   14.981  -14.497   -3.620
     160   15.640  -22.405   -2.251
     161   16.468  -19.380    1.253
     162   16.973  -22.736    2.585
     163   19.544  -20.774    3.982
     164   18.265  -21.987    2.107
     165   19.061  -18.202   -1.211
     166   20.980  -17.793   -4.139
     167   18.600  -17.113   -3.671
     168   18.293  -16.935    3.477
     169   24.081  -18.577    9.661
     170   24.521  -12.782    2.987
     171   24.208  -11.256    2.133
     172   27.327  -12.170    2.390
     173   25.699  -11.505   -0.548
     174   30.204  -11.325    0.734
     175   29.451  -16.388    2.116
     176   29.693  -14.123    5.543
     177   29.912  -15.447    7.260
     178   30.348  -13.919    7.763
     179   23.686  -18.287    0.010
     180   22.393  -20.783    8.922
     181   27.986  -17.810    3.662
     182   32.900  -12.974    7.010
     183   27.419  -13.641    9.292
     184   31.552  -13.473   15.369
     185   30.129  -13.209    8.370
     186   28.205  -16.979    5.182
     187   25.846  -19.202    7.753
     188   28.965  -20.606    9.952
     189   26.383  -24.389   13.972
     190   22.813  -21.903   13.875
     191   23.021  -19.822   15.669
     192   24.185  -21.369   21.955
     193   20.521  -21.126   26.226
     194   24.615  -25.164   29.380
     195   30.054  -24.049   23.397
     196   26.349  -22.211   14.287
     197   26.579  -26.867   10.481
     198   28.742  -22.875    3.914
     199   31.623  -20.765    1.101
     200   25.905  -23.696   10.837
     201   26.894  -20.262    8.150
     202   34.088  -20.489    7.623
     203   32.148  -16.842   10.177
     204   36.985   -6.981    7.447
     205   40.411   -1.969    6.157
     206   36.327   -0.719    7.025
     207   34.143   -4.761    0.358
