#Frame     o_angle_m1   o_angle_m2
       1      37.7125      34.5368
       2      38.3270      36.1372
       3      35.9847      35.7980
       4      36.1028      37.1526
       5      37.3515      38.5953
       6      34.4291      37.0427
       7      34.7128      41.2579
       8      32.1135      37.3636
       9      34.0125      39.4481
      10      32.9028      36.4794
      11      32.7961      35.1223
      12      35.5329      34.1556
      13      32.7501      34.8918
      14      36.1083      39.0361
      15      36.1174      40.0108
      16      35.0684      36.6854
      17      34.0968      35.1824
      18      33.6350      36.3349
      19      35.1794      33.6861
      20      37.6481      34.4813
      21      32.8677      33.7348
      22      32.1518      34.8780
      23      32.8330      35.0736
      24      33.0199      34.3862
      25      33.5078      37.3322
      26      32.5007      36.8988
      27      32.6443      35.7005
      28      31.0665      36.8657
      29      31.4786      36.4687
      30      31.9016      36.2672
      31      32.3022      36.9670
      32      33.0519      35.9918
      33      31.7750      31.3691
      34      29.3786      32.8789
      35      31.8329      35.5648
      36      29.4447      30.6169
      37      28.2301      31.1134
      38      32.1755      33.4879
      39      32.7390      32.5513
      40      30.3538      29.5721
      41      30.9045      30.3497
      42      32.3265      32.8554
      43      32.7843      36.1880
      44      32.6766      36.7908
      45      28.9762      33.1797
      46      31.5051      35.3915
      47      31.4214      35.7309
      48      29.6808      35.5799
      49      30.9774      37.3069
      50      28.9857      34.7567
      51      31.0332      35.8797
      52      30.4275      33.8772
      53      27.7992      34.1543
      54      29.1094      34.2279
      55      29.3381      34.2480
      56      31.1746      35.2354
      57      30.8222      33.1729
      58      30.0909      34.1560
      59      29.7069      32.5372
      60      31.6846      33.9442
      61      30.3344      36.8423
      62      32.8344      36.4923
      63      32.8195      34.4296
      64      33.4422      35.0465
      65      32.3414      35.6905
      66      33.5498      33.9416
      67      34.8778      34.8187
      68      30.1245      32.5560
      69      31.3219      35.4573
      70      30.3594      34.9791
      71      32.2417      36.1371
      72      33.2650      35.8701
      73      32.9595      34.2481
      74      32.2002      33.2994
      75      32.7070      32.5069
      76      32.8589      31.0483
      77      32.6022      32.2986
      78      33.1292      33.5632
      79      30.8822      34.0898
      80      32.7734      32.5906
      81      33.5858      33.8621
      82      31.8244      32.8849
      83      31.5412      34.1540
      84      30.6621      35.8844
      85      28.2813      34.5385
      86      28.5630      32.5965
      87      30.9830      35.4882
      88      33.3458      33.3423
      89      32.0761      36.1667
      90      35.3159      38.5269
      91      34.7914      36.0288
      92      31.4516      32.5832
      93      31.8585      32.8665
      94      33.0954      32.2376
      95      33.5941      33.6229
      96      35.8562      34.2582
      97      37.7506      36.4746
      98      35.9345      34.9264
      99      32.9882      31.9682
     100      33.2002      29.8781
     101      32.5092      33.8599
     102      32.2296      33.2703
     103      32.7714      36.3615
     104      33.0088      36.3111
     105      32.2569      35.2471
     106      32.3418      38.6075
     107      34.0893      38.9153
     108      35.2888      38.1277
     109      33.4956      34.7759
     110      30.4676      34.5294
     111      32.1941      37.9008
     112      31.7193      36.3124
     113      31.1625      37.0556
     114      31.7637      35.3809
     115      31.5368      34.6717
     116      32.8729      36.9596
     117      33.4232      34.5523
     118      28.4315      32.5988
     119      29.5443      34.4018
     120      26.5215      30.5200
     121      27.8791      32.9667
     122      27.9905      33.8420
     123      29.8377      33.1774
     124      29.2212      32.8910
     125      28.7778      35.7048
     126      32.0910      36.0567
     127      30.9512      36.2647
     128      33.1672      34.7551
     129      32.2169      34.7746
